Iteration,Value
1,0.5408572403829608
2,0.5408572403829608
3,0.5408572403829608
4,0.5408572403829608
5,0.5408572403829608
6,0.5408572403829608
7,0.5408572403829608
8,0.5408572403829608
9,0.5408572403829608
10,0.5408572403829608
11,0.5408572403829608
12,0.5408572403829608
13,0.5408572403829608
14,0.5408572403829608
15,0.5408572403829608
16,0.5408572403829608
17,0.5408572403829608
18,0.5408572403829608
19,0.5408572403829608
20,0.5408572403829608
21,0.5408572403829608
22,0.5408572403829608
23,0.5408572403829608
24,0.5408572403829608
25,0.5408572403829608
26,0.5408572403829608
27,0.5408572403829608
28,0.5408572403829608
29,0.5408572403829608
30,0.5408572403829608
31,0.5408572403829608
32,0.5408572403829608
33,0.5408572403829608
34,0.5408572403829608
35,0.5408572403829608
36,0.5408572403829608
37,0.5408572403829608
38,0.5408572403829608
39,0.5408572403829608
40,0.5408572403829608
41,0.5408572403829608
42,0.4891317628100802
43,0.4891317628100802
44,0.4891317628100802
45,0.4891317628100802
46,0.4891317628100802
47,0.4891317628100802
48,0.4891317628100802
49,0.4891317628100802
50,0.4891317628100802
51,0.4891317628100802
52,0.4891317628100802
53,0.4891317628100802
54,0.4891317628100802
55,0.4891317628100802
56,0.4891317628100802
57,0.4891317628100802
58,0.4891317628100802
59,0.4891317628100802
60,0.4891317628100802
61,0.4891317628100802
62,0.4891317628100802
63,0.4891317628100802
64,0.4891317628100802
65,0.4891317628100802
66,0.4891317628100802
67,0.4891317628100802
68,0.4891317628100802
69,0.4891317628100802
70,0.4891317628100802
71,0.4891317628100802
72,0.4891317628100802
