Iteration,Value
1,1.0
2,1.0
3,0.9698933726402649
4,1.0
5,0.9952639564251529
6,0.9952639564251529
7,0.9673968647914719
8,0.9673968647914719
9,0.9673968647914719
10,0.9673968647914719
11,0.9326942609551555
12,0.8973422632530267
13,0.8973422632530267
14,0.9093497800842887
15,0.9093938951476594
16,0.9093938951476594
17,0.9093938951476594
18,0.9015092065498056
19,0.8619344112085845
20,0.848045112199481
21,0.848045112199481
22,0.848045112199481
23,0.848045112199481
24,0.8445465125590047
25,0.8445465125590047
26,0.7573152122305816
27,0.7573152122305816
28,0.7314957881040025
29,0.7314957881040025
30,0.7314957881040025
31,0.7314957881040025
32,0.7314957881040025
33,0.7168709862948339
34,0.7168709862948339
35,0.7168709862948339
36,0.7168709862948339
37,0.6748908583669421
38,0.6748908583669421
39,0.6748908583669421
40,0.6748908583669421
41,0.6748908583669421
42,0.6619195335391684
43,0.648213264913175
44,0.648213264913175
45,0.645891019846174
46,0.645891019846174
47,0.5757277202560563
48,0.5952477671347756
49,0.5961696306416195
50,0.5961696306416195
